,description,publishedAt,title,title_desc_sent_1,title_desc
67,CMHC's annual report on Northern housing shows mixed outlook across the 3 territories,2019-08-29,Yellowknife's housing market slows as economic slump looms on the horizon: CMHC,-1,Yellowknife's housing market slows as economic slump looms on the horizon: CMHC. CMHC's annual report on Northern housing shows mixed outlook across the 3 territories
34,"Regionally, Quebec suffered the biggest decline in jobs from the previous month",2020-01-06,Canada's unemployment rate climbs to 5.9%,-1,"Canada's unemployment rate climbs to 5.9%. Regionally, Quebec suffered the biggest decline in jobs from the previous month"
116,"Bank of Montreal is wooing homebuyers with a variable mortgage rate with the biggest discount ever by a large Canadian bank, according to one market watcher.",2018-05-08,BMO offers record variable discount as mortgage wars heat up,-1,"BMO offers record variable discount as mortgage wars heat up. Bank of Montreal is wooing homebuyers with a variable mortgage rate with the biggest discount ever by a large Canadian bank, according to one market watcher."
111,New listings down 26%,2018-12-05,"Toronto housing sales fall the most in eight months, but prices stay steady",0,"Toronto housing sales fall the most in eight months, but prices stay steady. New listings down 26%"
32,'Expect further acceleration in 2020 if there is no relief on the supply front',2020-01-07,Tight Toronto housing market pushes prices to record highs with biggest gains in three years,1,Tight Toronto housing market pushes prices to record highs with biggest gains in three years. 'Expect further acceleration in 2020 if there is no relief on the supply front'
109,"Record debt burdens, rising borrowing costs and, in some cases, bigger payday loans are driving many Canadians to insolvency",2018-12-20,Higher interest rates pushing more Canadians to seek debt relief as business booms for insolvency trustees,1,"Higher interest rates pushing more Canadians to seek debt relief as business booms for insolvency trustees. Record debt burdens, rising borrowing costs and, in some cases, bigger payday loans are driving many Canadians to insolvency"
71,"A slowing economy and growing trade tensions suggest a cut will happen more quickly than currently accounted for, Macquarie economist says",2019-08-20,A Bank of Canada rate cut is looking more likely and the first could come as early as September,-1,"A Bank of Canada rate cut is looking more likely and the first could come as early as September. A slowing economy and growing trade tensions suggest a cut will happen more quickly than currently accounted for, Macquarie economist says"
111,New listings down 26%,2018-12-05,"Toronto housing sales fall the most in eight months, but prices stay steady",0,"Toronto housing sales fall the most in eight months, but prices stay steady. New listings down 26%"
44,"Canada's growth engines are sputtering, from investment and exports to weakening consumption as households cope with high debt levels",2019-11-28,Canadian economy faces a prolonged period of sluggish growth,-1,"Canadian economy faces a prolonged period of sluggish growth. Canada's growth engines are sputtering, from investment and exports to weakening consumption as households cope with high debt levels"
58,Manufacturing weakened in September for the 2nd straight month as U.S.-China trade war dragged on confidence,2019-10-01,Slump in U.S. manufacturing knocks stock market to lowest point in 5 weeks,0,Slump in U.S. manufacturing knocks stock market to lowest point in 5 weeks. Manufacturing weakened in September for the 2nd straight month as U.S.-China trade war dragged on confidence
59,All parties say they want to simplify the tax system — but their platforms say something else,2019-09-30,A week of tax promises that are more about politics than policy,0,A week of tax promises that are more about politics than policy. All parties say they want to simplify the tax system — but their platforms say something else
41,Realtors are cautioning values could continue rising given the dearth of listings and supply,2019-12-04,Toronto home prices grow at fastest pace in two years,1,Toronto home prices grow at fastest pace in two years. Realtors are cautioning values could continue rising given the dearth of listings and supply
16,"Provinces ramp up restrictions as number of COVID-19 cases in Canada passes 1,000",2020-03-21,Coronavirus: Here's what's happening in Canada and around the world on March 20,0,"Coronavirus: Here's what's happening in Canada and around the world on March 20. Provinces ramp up restrictions as number of COVID-19 cases in Canada passes 1,000"
52,"People new to Canada contribute 'significantly' to real estate demand, CEO says",2019-10-16,"1 in 5 homes in Canada bought by newcomers, Royal LePage survey says",1,"1 in 5 homes in Canada bought by newcomers, Royal LePage survey says. People new to Canada contribute 'significantly' to real estate demand, CEO says"
60,Liberals offer retrofit program to assist 1.5 million homes with upgrades,2019-09-26,Trudeau promises $40K interest-free loans to make homes energy efficient and safer from severe weather,-1,Trudeau promises $40K interest-free loans to make homes energy efficient and safer from severe weather. Liberals offer retrofit program to assist 1.5 million homes with upgrades
68,"Wednesday's drop appears driven by technical factors, such as investors needing to add long-term bonds as a hedge, not anxiety about the economy",2019-08-28,"Bond yields just sank to record lows again, but this time markets aren't panicking",-1,"Bond yields just sank to record lows again, but this time markets aren't panicking. Wednesday's drop appears driven by technical factors, such as investors needing to add long-term bonds as a hedge, not anxiety about the economy"
17,Canada’s banking regulator has halted talks on changing its mortgage stress test as it eases capital requirements to free up $300 billion (US$215 billion) of lending capacity to help ensure financial stability during the coronavirus pandemic.,2020-03-13,OSFI unleashes $300B in lending capacity,-1,OSFI unleashes $300B in lending capacity. Canada’s banking regulator has halted talks on changing its mortgage stress test as it eases capital requirements to free up $300 billion (US$215 billion) of lending capacity to help ensure financial stability during the coronavirus pandemic.
11,Burry says lockdowns intended to contain the pandemic are worse than the disease itself,2020-04-07,Michael Burry of 'The Big Short' slams coronavirus lockdowns in tweetstorm,-1,Michael Burry of 'The Big Short' slams coronavirus lockdowns in tweetstorm. Burry says lockdowns intended to contain the pandemic are worse than the disease itself
115,HSBC Canada cut its five-year variable mortgage rate to 2.39 per cent as banks compete for customers amid a slump in home sales.,2018-05-16,"HSBC undercuts BMO, TD on 5-year rates as mortgage fight brews",-1,"HSBC undercuts BMO, TD on 5-year rates as mortgage fight brews. HSBC Canada cut its five-year variable mortgage rate to 2.39 per cent as banks compete for customers amid a slump in home sales."
64,It's the number one concern among Canadians heading into the fall federal election,2019-09-12,Breaking down Canadians' questions about the cost of living,0,Breaking down Canadians' questions about the cost of living. It's the number one concern among Canadians heading into the fall federal election
95,It's one of the biggest questions hanging over Canada's record household debt,2019-05-09,How much do we owe against our homes? Not even the Bank of Canada knows for sure,0,How much do we owe against our homes? Not even the Bank of Canada knows for sure. It's one of the biggest questions hanging over Canada's record household debt
52,"People new to Canada contribute 'significantly' to real estate demand, CEO says",2019-10-16,"1 in 5 homes in Canada bought by newcomers, Royal LePage survey says",1,"1 in 5 homes in Canada bought by newcomers, Royal LePage survey says. People new to Canada contribute 'significantly' to real estate demand, CEO says"
60,Liberals offer retrofit program to assist 1.5 million homes with upgrades,2019-09-26,Trudeau promises $40K interest-free loans to make homes energy efficient and safer from severe weather,-1,Trudeau promises $40K interest-free loans to make homes energy efficient and safer from severe weather. Liberals offer retrofit program to assist 1.5 million homes with upgrades
89,Finding housing even if you have no barriers is very very difficult',2019-06-03,"P.E.I. needs more pet-friendly housing, say violence prevention advocates",0,"P.E.I. needs more pet-friendly housing, say violence prevention advocates. Finding housing even if you have no barriers is very very difficult'"
52,"People new to Canada contribute 'significantly' to real estate demand, CEO says",2019-10-16,"1 in 5 homes in Canada bought by newcomers, Royal LePage survey says",1,"1 in 5 homes in Canada bought by newcomers, Royal LePage survey says. People new to Canada contribute 'significantly' to real estate demand, CEO says"
92,Maxime Pedneaud-Jobin says $6M in new money not enough to fix crisis,2019-05-24,Gatineau mayor wants more help from province for affordable housing,0,Gatineau mayor wants more help from province for affordable housing. Maxime Pedneaud-Jobin says $6M in new money not enough to fix crisis
13,"A perfect storm of lower interest rates, widespread layoffs and economic uncertainty brought on by the COVID-19 outbreak has sent the mortgage finance market into overdrive.",2020-03-27,"Mortgage market sees flurry of activity amid low rates, virus uncertainty",-1,"Mortgage market sees flurry of activity amid low rates, virus uncertainty. A perfect storm of lower interest rates, widespread layoffs and economic uncertainty brought on by the COVID-19 outbreak has sent the mortgage finance market into overdrive."
111,New listings down 26%,2018-12-05,"Toronto housing sales fall the most in eight months, but prices stay steady",0,"Toronto housing sales fall the most in eight months, but prices stay steady. New listings down 26%"
51,"Either way most individual Canadians will pay lower taxes, while corporations will pay a bit more",2019-10-21,From taxes to housing to pipelines: How a Liberal or Conservative win could affect Canada’s economy,0,"From taxes to housing to pipelines: How a Liberal or Conservative win could affect Canada’s economy. Either way most individual Canadians will pay lower taxes, while corporations will pay a bit more"
108,"Rising borrowing costs, increased government regulation and volatile stock markets playing a role, along with dwindling demand from Chinese buyers",2019-01-04,"It’s not just Vancouver: Property market slump goes global, jolting cities from Hong Kong to Sydney",1,"It’s not just Vancouver: Property market slump goes global, jolting cities from Hong Kong to Sydney. Rising borrowing costs, increased government regulation and volatile stock markets playing a role, along with dwindling demand from Chinese buyers"
6,"Provincial economy expected to shrink by 4 per cent, economist says",2020-04-20,"B.C. home sales to fall by 40 per cent but comeback is likely, report says",-1,"B.C. home sales to fall by 40 per cent but comeback is likely, report says. Provincial economy expected to shrink by 4 per cent, economist says"
108,"Rising borrowing costs, increased government regulation and volatile stock markets playing a role, along with dwindling demand from Chinese buyers",2019-01-04,"It’s not just Vancouver: Property market slump goes global, jolting cities from Hong Kong to Sydney",1,"It’s not just Vancouver: Property market slump goes global, jolting cities from Hong Kong to Sydney. Rising borrowing costs, increased government regulation and volatile stock markets playing a role, along with dwindling demand from Chinese buyers"
92,Maxime Pedneaud-Jobin says $6M in new money not enough to fix crisis,2019-05-24,Gatineau mayor wants more help from province for affordable housing,0,Gatineau mayor wants more help from province for affordable housing. Maxime Pedneaud-Jobin says $6M in new money not enough to fix crisis
109,"Record debt burdens, rising borrowing costs and, in some cases, bigger payday loans are driving many Canadians to insolvency",2018-12-20,Higher interest rates pushing more Canadians to seek debt relief as business booms for insolvency trustees,1,"Higher interest rates pushing more Canadians to seek debt relief as business booms for insolvency trustees. Record debt burdens, rising borrowing costs and, in some cases, bigger payday loans are driving many Canadians to insolvency"
13,"A perfect storm of lower interest rates, widespread layoffs and economic uncertainty brought on by the COVID-19 outbreak has sent the mortgage finance market into overdrive.",2020-03-27,"Mortgage market sees flurry of activity amid low rates, virus uncertainty",-1,"Mortgage market sees flurry of activity amid low rates, virus uncertainty. A perfect storm of lower interest rates, widespread layoffs and economic uncertainty brought on by the COVID-19 outbreak has sent the mortgage finance market into overdrive."
2,"He's seeking a combined US$39.5 million for the Bel Air properties, including one that was previously owned by the late Gene Wilder",2020-05-04,Elon Musk puts two homes up for sale after vow to sell most possessions,0,"Elon Musk puts two homes up for sale after vow to sell most possessions. He's seeking a combined US$39.5 million for the Bel Air properties, including one that was previously owned by the late Gene Wilder"
7,"With economic activity diving in Canada, just how bad will it get?",2020-04-15,Recession or depression? Canada's economy is in for a rough spring,-1,"Recession or depression? Canada's economy is in for a rough spring. With economic activity diving in Canada, just how bad will it get?"
77,‘I wouldn't want to see some markets cool a lot more than they have’,2019-07-25,Royal Bank CEO says housing market now ‘well-balanced’ but stress test could be tweaked,0,Royal Bank CEO says housing market now ‘well-balanced’ but stress test could be tweaked. ‘I wouldn't want to see some markets cool a lot more than they have’
105,"Canada’s banking regulator defended tougher mortgage underwriting rules blamed recently for a slump in the nation’s housing market, but left open the possibility that regulations could ease if conditions change.",2019-02-05,Regulator OSFI opens door to easing Canadian mortgage rules,0,"Regulator OSFI opens door to easing Canadian mortgage rules. Canada’s banking regulator defended tougher mortgage underwriting rules blamed recently for a slump in the nation’s housing market, but left open the possibility that regulations could ease if conditions change."
105,"Canada’s banking regulator defended tougher mortgage underwriting rules blamed recently for a slump in the nation’s housing market, but left open the possibility that regulations could ease if conditions change.",2019-02-05,Regulator OSFI opens door to easing Canadian mortgage rules,0,"Regulator OSFI opens door to easing Canadian mortgage rules. Canada’s banking regulator defended tougher mortgage underwriting rules blamed recently for a slump in the nation’s housing market, but left open the possibility that regulations could ease if conditions change."
101,"Liberal government has hinted there will be new measures on skills training, housing, pharmaceutical coverage and support for seniors",2019-03-19,Get ready for a new wave of spending in budget today amid a revenue windfall and looming election,0,"Get ready for a new wave of spending in budget today amid a revenue windfall and looming election. Liberal government has hinted there will be new measures on skills training, housing, pharmaceutical coverage and support for seniors"
80,Home sales in Moncton are up 23.7 per cent compared to the first five months of 2018,2019-07-11,Moncton gets fair share of real estate boom,1,Moncton gets fair share of real estate boom. Home sales in Moncton are up 23.7 per cent compared to the first five months of 2018
83,A new wave of supply is also dampening growth,2019-06-28,Toronto condo prices see weakest growth in 5 years as tight lending rules bite,-1,Toronto condo prices see weakest growth in 5 years as tight lending rules bite. A new wave of supply is also dampening growth
5,"With growing economic uncertainty during the COVID-19 pandemic, the financial landscape is shifting every day.",2020-04-28,"Students, small businesses and seniors: Ask BNN Bloomberg answers your personal finance questions",0,"Students, small businesses and seniors: Ask BNN Bloomberg answers your personal finance questions. With growing economic uncertainty during the COVID-19 pandemic, the financial landscape is shifting every day."
71,"A slowing economy and growing trade tensions suggest a cut will happen more quickly than currently accounted for, Macquarie economist says",2019-08-20,A Bank of Canada rate cut is looking more likely and the first could come as early as September,-1,"A Bank of Canada rate cut is looking more likely and the first could come as early as September. A slowing economy and growing trade tensions suggest a cut will happen more quickly than currently accounted for, Macquarie economist says"
88,"National Bank, Bank of America Merrill Lynch cut growth forecasts for 2019",2019-06-04,Trade war darkens economic forecasts for Canada,-1,"Trade war darkens economic forecasts for Canada. National Bank, Bank of America Merrill Lynch cut growth forecasts for 2019"
105,"Canada’s banking regulator defended tougher mortgage underwriting rules blamed recently for a slump in the nation’s housing market, but left open the possibility that regulations could ease if conditions change.",2019-02-05,Regulator OSFI opens door to easing Canadian mortgage rules,0,"Regulator OSFI opens door to easing Canadian mortgage rules. Canada’s banking regulator defended tougher mortgage underwriting rules blamed recently for a slump in the nation’s housing market, but left open the possibility that regulations could ease if conditions change."
80,Home sales in Moncton are up 23.7 per cent compared to the first five months of 2018,2019-07-11,Moncton gets fair share of real estate boom,1,Moncton gets fair share of real estate boom. Home sales in Moncton are up 23.7 per cent compared to the first five months of 2018
79,"The chief executive of Alberta-based bank ATB Financial is calling on the federal government to revisit controversial mortgage rules introduced in January 2018, saying the regulations are holding back some Canadians from buying homes.",2019-07-11,"Feds should assess housing 'broadly,' revisit mortgage rules: ATB CEO",-1,"Feds should assess housing 'broadly,' revisit mortgage rules: ATB CEO. The chief executive of Alberta-based bank ATB Financial is calling on the federal government to revisit controversial mortgage rules introduced in January 2018, saying the regulations are holding back some Canadians from buying homes."
6,"Provincial economy expected to shrink by 4 per cent, economist says",2020-04-20,"B.C. home sales to fall by 40 per cent but comeback is likely, report says",-1,"B.C. home sales to fall by 40 per cent but comeback is likely, report says. Provincial economy expected to shrink by 4 per cent, economist says"
57,One real estate broker says he sold 30 condos in one weekend,2019-10-04,"Canada's housing market has come roaring back this fall, complete with black-tie condo launches",1,"Canada's housing market has come roaring back this fall, complete with black-tie condo launches. One real estate broker says he sold 30 condos in one weekend"
124,"With all eyes turned toward the Bank of Canada’s interest rate decision on Wednesday, some of Canada’s top housing minds analyzed what a potential rise in rates might mean for the nation’s hot housing markets. Here’s what they told BNN.",2017-07-10,What a rate hike could mean for Canada’s hot housing markets,1,"What a rate hike could mean for Canada’s hot housing markets. With all eyes turned toward the Bank of Canada’s interest rate decision on Wednesday, some of Canada’s top housing minds analyzed what a potential rise in rates might mean for the nation’s hot housing markets. Here’s what they told BNN."
19,40 banks around the world have already cut interest rates — and Canada could be next,2020-03-01,How the coronavirus has thrown interest rate plans out the window,-1,How the coronavirus has thrown interest rate plans out the window. 40 banks around the world have already cut interest rates — and Canada could be next
118,Scott Hannah says low borrowing costs and rising home prices have lured Canadians into a debt trap they may not escape if looming economic threats materialize.,2018-04-12,‘Dr. Debt’ warns Canadians need to get financial houses in order,-1,‘Dr. Debt’ warns Canadians need to get financial houses in order. Scott Hannah says low borrowing costs and rising home prices have lured Canadians into a debt trap they may not escape if looming economic threats materialize.
117,Canada’s mortgage growth has fallen to the lowest in nearly two decades as interest rates rise and after new mortgage rules took effect at the start of the year.,2018-05-01,Mortgage growth in Canada hasn't been this weak since 2001,1,Mortgage growth in Canada hasn't been this weak since 2001. Canada’s mortgage growth has fallen to the lowest in nearly two decades as interest rates rise and after new mortgage rules took effect at the start of the year.
108,"Rising borrowing costs, increased government regulation and volatile stock markets playing a role, along with dwindling demand from Chinese buyers",2019-01-04,"It’s not just Vancouver: Property market slump goes global, jolting cities from Hong Kong to Sydney",1,"It’s not just Vancouver: Property market slump goes global, jolting cities from Hong Kong to Sydney. Rising borrowing costs, increased government regulation and volatile stock markets playing a role, along with dwindling demand from Chinese buyers"
124,"With all eyes turned toward the Bank of Canada’s interest rate decision on Wednesday, some of Canada’s top housing minds analyzed what a potential rise in rates might mean for the nation’s hot housing markets. Here’s what they told BNN.",2017-07-10,What a rate hike could mean for Canada’s hot housing markets,1,"What a rate hike could mean for Canada’s hot housing markets. With all eyes turned toward the Bank of Canada’s interest rate decision on Wednesday, some of Canada’s top housing minds analyzed what a potential rise in rates might mean for the nation’s hot housing markets. Here’s what they told BNN."
63,As recession threatens and an election beckons is it time for us to borrow or time to shuck debt?,2019-09-12,To pay off or borrow more is the question facing Canadians: Don Pittis,-1,To pay off or borrow more is the question facing Canadians: Don Pittis. As recession threatens and an election beckons is it time for us to borrow or time to shuck debt?
7,"With economic activity diving in Canada, just how bad will it get?",2020-04-15,Recession or depression? Canada's economy is in for a rough spring,-1,"Recession or depression? Canada's economy is in for a rough spring. With economic activity diving in Canada, just how bad will it get?"
77,‘I wouldn't want to see some markets cool a lot more than they have’,2019-07-25,Royal Bank CEO says housing market now ‘well-balanced’ but stress test could be tweaked,0,Royal Bank CEO says housing market now ‘well-balanced’ but stress test could be tweaked. ‘I wouldn't want to see some markets cool a lot more than they have’
123,Canada’s big banks increased their prime lending rates on Wednesday.,2017-07-13,Canada's banks increase prime lending rates,1,Canada's banks increase prime lending rates. Canada’s big banks increased their prime lending rates on Wednesday.
2,"He's seeking a combined US$39.5 million for the Bel Air properties, including one that was previously owned by the late Gene Wilder",2020-05-04,Elon Musk puts two homes up for sale after vow to sell most possessions,0,"Elon Musk puts two homes up for sale after vow to sell most possessions. He's seeking a combined US$39.5 million for the Bel Air properties, including one that was previously owned by the late Gene Wilder"
81,Increase in home sales backed by record-setting month in May,2019-07-05,Houses in New Brunswick selling at unusually fast rate,1,Houses in New Brunswick selling at unusually fast rate. Increase in home sales backed by record-setting month in May
84,"Minister Ernie Hudson says he wants to collaborate with municipalities, not 'dictate'",2019-06-20,Green MLA calls on province to regulate short-term rentals,0,"Green MLA calls on province to regulate short-term rentals. Minister Ernie Hudson says he wants to collaborate with municipalities, not 'dictate'"
76,"Move trims U.S. rate by quarter point to 2.25%, closer to Bank of Canada's",2019-07-31,U.S. central bank cuts interest rate for 1st time since 2008,-1,"U.S. central bank cuts interest rate for 1st time since 2008. Move trims U.S. rate by quarter point to 2.25%, closer to Bank of Canada's"
67,CMHC's annual report on Northern housing shows mixed outlook across the 3 territories,2019-08-29,Yellowknife's housing market slows as economic slump looms on the horizon: CMHC,-1,Yellowknife's housing market slows as economic slump looms on the horizon: CMHC. CMHC's annual report on Northern housing shows mixed outlook across the 3 territories
5,"With growing economic uncertainty during the COVID-19 pandemic, the financial landscape is shifting every day.",2020-04-28,"Students, small businesses and seniors: Ask BNN Bloomberg answers your personal finance questions",0,"Students, small businesses and seniors: Ask BNN Bloomberg answers your personal finance questions. With growing economic uncertainty during the COVID-19 pandemic, the financial landscape is shifting every day."
31,Officials say construction on the twin tower development will take about three years,2020-01-08,Development with 110 affordable units in London gets $130M boost,1,Development with 110 affordable units in London gets $130M boost. Officials say construction on the twin tower development will take about three years
123,Canada’s big banks increased their prime lending rates on Wednesday.,2017-07-13,Canada's banks increase prime lending rates,1,Canada's banks increase prime lending rates. Canada’s big banks increased their prime lending rates on Wednesday.
99,Sales down 4.6% and prices fell 0.5% from a year earlier,2019-04-15,Canadian home sales remain at lowest levels in six years,-1,Canadian home sales remain at lowest levels in six years. Sales down 4.6% and prices fell 0.5% from a year earlier
41,Realtors are cautioning values could continue rising given the dearth of listings and supply,2019-12-04,Toronto home prices grow at fastest pace in two years,1,Toronto home prices grow at fastest pace in two years. Realtors are cautioning values could continue rising given the dearth of listings and supply
108,"Rising borrowing costs, increased government regulation and volatile stock markets playing a role, along with dwindling demand from Chinese buyers",2019-01-04,"It’s not just Vancouver: Property market slump goes global, jolting cities from Hong Kong to Sydney",1,"It’s not just Vancouver: Property market slump goes global, jolting cities from Hong Kong to Sydney. Rising borrowing costs, increased government regulation and volatile stock markets playing a role, along with dwindling demand from Chinese buyers"
25,Builder says mortgage and appraisal system keeps families out of low energy homes,2020-02-06,Net-zero-energy home sits empty as builder struggles to find buyers,0,Net-zero-energy home sits empty as builder struggles to find buyers. Builder says mortgage and appraisal system keeps families out of low energy homes
81,Increase in home sales backed by record-setting month in May,2019-07-05,Houses in New Brunswick selling at unusually fast rate,1,Houses in New Brunswick selling at unusually fast rate. Increase in home sales backed by record-setting month in May
60,Liberals offer retrofit program to assist 1.5 million homes with upgrades,2019-09-26,Trudeau promises $40K interest-free loans to make homes energy efficient and safer from severe weather,-1,Trudeau promises $40K interest-free loans to make homes energy efficient and safer from severe weather. Liberals offer retrofit program to assist 1.5 million homes with upgrades
54,Canada Mortgage and Housing Corp. says seasonally adjusted annual rate fell 2.5% compared with August,2019-10-08,"Pace of housing starts slowed in September, CMHC reports",-1,"Pace of housing starts slowed in September, CMHC reports. Canada Mortgage and Housing Corp. says seasonally adjusted annual rate fell 2.5% compared with August"
42,Royal Bank of Canada’s record-breaking profit engine may be running out of steam,2019-12-04,Royal Bank of Canada misses expectations in tough times for investment banking,0,Royal Bank of Canada misses expectations in tough times for investment banking. Royal Bank of Canada’s record-breaking profit engine may be running out of steam
11,Burry says lockdowns intended to contain the pandemic are worse than the disease itself,2020-04-07,Michael Burry of 'The Big Short' slams coronavirus lockdowns in tweetstorm,-1,Michael Burry of 'The Big Short' slams coronavirus lockdowns in tweetstorm. Burry says lockdowns intended to contain the pandemic are worse than the disease itself
94,"More co-ordinated approach to homelessness needed, says Human Development Council",2019-05-22,"Saint John housing programs more effective, but shelter use on the rise, report shows",0,"Saint John housing programs more effective, but shelter use on the rise, report shows. More co-ordinated approach to homelessness needed, says Human Development Council"
93,Domestic banking is no longer the engine driving profit growth,2019-05-24,Canada’s biggest banks are finding their growth everywhere but Canada,-1,Canada’s biggest banks are finding their growth everywhere but Canada. Domestic banking is no longer the engine driving profit growth
57,One real estate broker says he sold 30 condos in one weekend,2019-10-04,"Canada's housing market has come roaring back this fall, complete with black-tie condo launches",1,"Canada's housing market has come roaring back this fall, complete with black-tie condo launches. One real estate broker says he sold 30 condos in one weekend"
29,2-bedroom units in city's west end led surge in rental prices in 2019,2020-01-16,"Rental vacancies up in Ottawa, but so's the rent",1,"Rental vacancies up in Ottawa, but so's the rent. 2-bedroom units in city's west end led surge in rental prices in 2019"
113,Affordable housing is almost impossible to find as tighter mortgage rules and a surge in immigrants has created an all-out war for rentals,2018-11-26,'We're at a crisis and we don't even realize it': The dark side of Toronto's housing boom,0,'We're at a crisis and we don't even realize it': The dark side of Toronto's housing boom. Affordable housing is almost impossible to find as tighter mortgage rules and a surge in immigrants has created an all-out war for rentals
93,Domestic banking is no longer the engine driving profit growth,2019-05-24,Canada’s biggest banks are finding their growth everywhere but Canada,-1,Canada’s biggest banks are finding their growth everywhere but Canada. Domestic banking is no longer the engine driving profit growth
31,Officials say construction on the twin tower development will take about three years,2020-01-08,Development with 110 affordable units in London gets $130M boost,1,Development with 110 affordable units in London gets $130M boost. Officials say construction on the twin tower development will take about three years
3,"A surge in listings, fewer renters means more competition for landlords",2020-05-01,"Condo vacancies rise, rents fall as pandemic crushes GTA's short-term rental market",-1,"Condo vacancies rise, rents fall as pandemic crushes GTA's short-term rental market. A surge in listings, fewer renters means more competition for landlords"
84,"Minister Ernie Hudson says he wants to collaborate with municipalities, not 'dictate'",2019-06-20,Green MLA calls on province to regulate short-term rentals,0,"Green MLA calls on province to regulate short-term rentals. Minister Ernie Hudson says he wants to collaborate with municipalities, not 'dictate'"
97,TD says impact of rules have been longer-lasting and more significant than originally intended and government should consider flexibility,2019-04-30,"Scrapping mortgage rules would boost Canadian home prices by about $32,000, TD says",1,"Scrapping mortgage rules would boost Canadian home prices by about $32,000, TD says. TD says impact of rules have been longer-lasting and more significant than originally intended and government should consider flexibility"
44,"Canada's growth engines are sputtering, from investment and exports to weakening consumption as households cope with high debt levels",2019-11-28,Canadian economy faces a prolonged period of sluggish growth,-1,"Canadian economy faces a prolonged period of sluggish growth. Canada's growth engines are sputtering, from investment and exports to weakening consumption as households cope with high debt levels"
80,Home sales in Moncton are up 23.7 per cent compared to the first five months of 2018,2019-07-11,Moncton gets fair share of real estate boom,1,Moncton gets fair share of real estate boom. Home sales in Moncton are up 23.7 per cent compared to the first five months of 2018
67,CMHC's annual report on Northern housing shows mixed outlook across the 3 territories,2019-08-29,Yellowknife's housing market slows as economic slump looms on the horizon: CMHC,-1,Yellowknife's housing market slows as economic slump looms on the horizon: CMHC. CMHC's annual report on Northern housing shows mixed outlook across the 3 territories
5,"With growing economic uncertainty during the COVID-19 pandemic, the financial landscape is shifting every day.",2020-04-28,"Students, small businesses and seniors: Ask BNN Bloomberg answers your personal finance questions",0,"Students, small businesses and seniors: Ask BNN Bloomberg answers your personal finance questions. With growing economic uncertainty during the COVID-19 pandemic, the financial landscape is shifting every day."
