,description,publishedAt,title,title_desc_sent_1,title_desc
18,Top regulators and executives of exchange firms have come out in favour of keeping markets open,2020-03-17,"U.S. plans to keep markets open, but considering shorter trading hours",0,"U.S. plans to keep markets open, but considering shorter trading hours. Top regulators and executives of exchange firms have come out in favour of keeping markets open"
62,"It’s like a gravitational field the S&P 500 can’t get free from, the place to which all rallies must return. And it was back in force Wednesday, eliciting angry notice from President Donald Trump as waves of selling dragged the benchmark within points of where it stood 21 months ago.",2019-10-02,"Actually, the stock market has barely moved in the two years under Trump",-1,"Actually, the stock market has barely moved in the two years under Trump. It’s like a gravitational field the S&P 500 can’t get free from, the place to which all rallies must return. And it was back in force Wednesday, eliciting angry notice from President Donald Trump as waves of selling dragged the benchmark within points of where it stood 21 months ago."
11,"Poll suggests Albertans support energy transition, but it‚Äôs complicated",2020-04-16,CBC News poll: Why the economic crisis could speed up transition to renewable energy,0,"CBC News poll: Why the economic crisis could speed up transition to renewable energy. Poll suggests Albertans support energy transition, but it‚Äôs complicated"
36,Baker group poised to gain control of retailer after agreeing to Catalyst Capital's higher asking price,2020-01-06,HBC shares up on news of likely takeover deal,1,HBC shares up on news of likely takeover deal. Baker group poised to gain control of retailer after agreeing to Catalyst Capital's higher asking price
90,"President Donald Trump, gearing up for the official start of his 2020 campaign, warned that the U.S. would face an epic stock market crash if he’s not re-elected.",2019-06-15,Trump warns of epic stock market crash if he's not re-elected,0,"Trump warns of epic stock market crash if he's not re-elected. President Donald Trump, gearing up for the official start of his 2020 campaign, warned that the U.S. would face an epic stock market crash if he’s not re-elected."
118,"U.S. stocks dropped from early session highs to cap a record-breaking week with something of a whimper. Declines in tech giants including Apple Inc. (AAPL.O), Amazon.com Inc. (AMZN.O) and Facebook Inc. (FB.O) dragged on benchmarks as quarterly rebalancing spurred trading.",2018-09-20,U.S. stocks weather quad witching to cap record week,-1,"U.S. stocks weather quad witching to cap record week. U.S. stocks dropped from early session highs to cap a record-breaking week with something of a whimper. Declines in tech giants including Apple Inc. (AAPL.O), Amazon.com Inc. (AMZN.O) and Facebook Inc. (FB.O) dragged on benchmarks as quarterly rebalancing spurred trading."
110,Ottawa warned it could face ‘severe consequences’ if Wanzhou Meng not released immediately,2018-12-10,China accuses Canada of violating bilateral agreement in Huawei arrest,0,China accuses Canada of violating bilateral agreement in Huawei arrest. Ottawa warned it could face ‘severe consequences’ if Wanzhou Meng not released immediately
0,"Most chip manufacturers rely on equipment produced in U.S., including Apple and Qualcomm supplier",2020-05-15,New U.S. rule aimed at Huawei's influence focuses on semiconductor suppliers,0,"New U.S. rule aimed at Huawei's influence focuses on semiconductor suppliers. Most chip manufacturers rely on equipment produced in U.S., including Apple and Qualcomm supplier"
89,"Federal cabinet approved controversial project Tuesday, but hurdles remain",2019-06-18,Oilpatch pushes for construction to start immediately on green-lit Trans Mountain pipeline,0,"Oilpatch pushes for construction to start immediately on green-lit Trans Mountain pipeline. Federal cabinet approved controversial project Tuesday, but hurdles remain"
104,"Right now, he says, there's a spirit of thinking the lengthy bull market 'ought to come to an end soon'",2019-02-12,"Recession risk looks elevated, says Nobel economist Robert Shiller",-1,"Recession risk looks elevated, says Nobel economist Robert Shiller. Right now, he says, there's a spirit of thinking the lengthy bull market 'ought to come to an end soon'"
65,"Lender is considering issuing two residential mortgage-backed securities each year, helping to establish private RMBS market in Canada",2019-09-24,Home Capital gives Canada’s mortgage-backed market a boost,0,"Home Capital gives Canada’s mortgage-backed market a boost. Lender is considering issuing two residential mortgage-backed securities each year, helping to establish private RMBS market in Canada"
45,"Canada's Food Price Report 2020 cites changing weather patterns, 'elephant in the room,' as big factor",2019-12-04,"Canadian families will pay nearly $500 more in 2020 for food, report says",0,"Canadian families will pay nearly $500 more in 2020 for food, report says. Canada's Food Price Report 2020 cites changing weather patterns, 'elephant in the room,' as big factor"
31,"While it's too early to assess the full impact, it will definitely have economic repercussions",2020-01-31,What China's unexpected coronavirus contagion could mean for Canada,0,"What China's unexpected coronavirus contagion could mean for Canada. While it's too early to assess the full impact, it will definitely have economic repercussions"
70,"Before China suspended Canadian shipments a, companies like Maple Leaf Foods were enjoying a windfall from surging Chinese demand and prices",2019-09-03,"Processors, not ranchers, bearing the brunt of China's ban on Canadian meat",-1,"Processors, not ranchers, bearing the brunt of China's ban on Canadian meat. Before China suspended Canadian shipments a, companies like Maple Leaf Foods were enjoying a windfall from surging Chinese demand and prices"
42,President Donald Trump says U.S. is 'very close' to nailing down trade deal with China,2019-12-12,U.S. stocks reach new highs after rumours of 50% cut on Chinese tariffs,1,U.S. stocks reach new highs after rumours of 50% cut on Chinese tariffs. President Donald Trump says U.S. is 'very close' to nailing down trade deal with China
