,description,publishedAt,title,title_desc_sent_1,title_desc
40,Dec.¬¨‚Ä†15¬¨‚Ä†we expected to get a paycheque and instead we got an email saying the company is shut down',2019-12-17,Employees shocked after Athlete Factory suddenly shuts its doors,-1,Employees shocked after Athlete Factory suddenly shuts its doors. Dec.¬¨‚Ä†15¬¨‚Ä†we expected to get a paycheque and instead we got an email saying the company is shut down'
26,Could be good news for the nation's increasingly tight real estate markets,2020-02-10,Condo gains push Canadian housing starts to 4-month high,0,Condo gains push Canadian housing starts to 4-month high. Could be good news for the nation's increasingly tight real estate markets
95,Move comes after some federal departments microtargeted Facebook job ads,2019-05-30,Hiring watchdog to step up monitoring of government job ads,0,Hiring watchdog to step up monitoring of government job ads. Move comes after some federal departments microtargeted Facebook job ads
104,"Six miles from Apple's dazzling new Cupertino campus is an unidentified, non-descript building that could mirror how some workers are treated",2019-02-12,Behind the scenes: What it’s like to work inside Apple’s ‘black site’,0,"Behind the scenes: What it’s like to work inside Apple’s ‘black site’. Six miles from Apple's dazzling new Cupertino campus is an unidentified, non-descript building that could mirror how some workers are treated"
18,"Prime Minister Justin Trudeau said half a million Canadians, or about 2.5 per cent of the labor force, have applied for jobless claims this week, smashing previous records and suggesting the nation is already in a deep recession.",2020-03-20,"Canada received over 500,000 EI applications this week",-1,"Canada received over 500,000 EI applications this week. Prime Minister Justin Trudeau said half a million Canadians, or about 2.5 per cent of the labor force, have applied for jobless claims this week, smashing previous records and suggesting the nation is already in a deep recession."
0,"Goldman Sachs Group Inc. economists revised their forecasts to reflect a gloomier outlook for the U.S. labor market, though also the potential for a faster recovery from the coronavirus pandemic.",2020-05-13,"Goldman Sachs now sees U.S. jobless rate peaking at 25%, not 15%",-1,"Goldman Sachs now sees U.S. jobless rate peaking at 25%, not 15%. Goldman Sachs Group Inc. economists revised their forecasts to reflect a gloomier outlook for the U.S. labor market, though also the potential for a faster recovery from the coronavirus pandemic."
62,Warning signs mounted today with wave of data showing slumping manufacturing,2019-10-01,Trade conflicts are hitting the global economy with an impact reminiscent of the 1930s,-1,Trade conflicts are hitting the global economy with an impact reminiscent of the 1930s. Warning signs mounted today with wave of data showing slumping manufacturing
112,Affordable housing is almost impossible to find as tighter mortgage rules and a surge in immigrants has created an all-out war for rentals,2018-11-26,'We're at a crisis and we don't even realize it': The dark side of Toronto's housing boom,0,'We're at a crisis and we don't even realize it': The dark side of Toronto's housing boom. Affordable housing is almost impossible to find as tighter mortgage rules and a surge in immigrants has created an all-out war for rentals
76,Survivor says she's frustrated by bail decision,2019-08-13,Awet Mehari granted bail pending appeal hearing for sexual assault conviction,0,Awet Mehari granted bail pending appeal hearing for sexual assault conviction. Survivor says she's frustrated by bail decision
101,Economists had expected a gain,2019-04-05,"Canada loses 7,200 jobs, its first employment drop in seven months",-1,"Canada loses 7,200 jobs, its first employment drop in seven months. Economists had expected a gain"
68,"Monica Rankin has been charged with theft under $5,000",2019-09-11,Windsor PSW charged with alleged theft from client,0,"Windsor PSW charged with alleged theft from client. Monica Rankin has been charged with theft under $5,000"
89,Cash earmarked for energy-efficient gas turbines needed for the $40B project and a new bridge in Kitimat,2019-06-24,"Feds announce $275M for 'largest private sector investment in Canadian history' ‚Äö√Ñ√Æ Kitimat, B.C.'s LNG project",1,"Feds announce $275M for 'largest private sector investment in Canadian history' ‚Äö√Ñ√Æ Kitimat, B.C.'s LNG project. Cash earmarked for energy-efficient gas turbines needed for the $40B project and a new bridge in Kitimat"
115,"The toll of one of the largest U.S. retail failures is evident in July employment statistics, which were held back by the collapse of Toys “R” Us.",2018-08-03,Toys ‘R’ Us job carnage drags on July U.S. payroll figures,-1,"Toys ‘R’ Us job carnage drags on July U.S. payroll figures. The toll of one of the largest U.S. retail failures is evident in July employment statistics, which were held back by the collapse of Toys “R” Us."
12,8 of 22 of COVID-19 cases on P.E.I. considered recovered,2020-04-06,"COVID-19 on P.E.I.: What's happening Monday, April 6",0,"COVID-19 on P.E.I.: What's happening Monday, April 6. 8 of 22 of COVID-19 cases on P.E.I. considered recovered"
